id;num_rue;nom_rue;ville;code_postal;date_naissance
1;37454;Directives application Home Loan Account;Dam;9997;2019-09-13T13:34:38
2;45924;seamless Metal deposit;Producer;83244;2019-09-12T16:26:46
3;21233;Chips;Money Market Account;61165;2019-09-13T02:22:38
4;706;Home Namibia;Steel zero administration;36636;2019-09-13T09:23:05
5;45606;bluetooth;syndicate;98323;2019-09-13T00:45:12
6;46676;HDD;Table Small Frozen Sausages Planner;80839;2019-09-13T05:43:17
7;30461;Intelligent;Monitored Bahamian Dollar Investment Account;83319;2019-09-13T14:08:45
8;17336;incentivize Tuna copy;Costa Rica Mayotte;18485;2019-09-13T14:13:11
9;96958;connect Markets Chief;capacitor archive;57044;2019-09-13T10:16:03
10;52083;Tactics;scale interactive generating;35675;2019-09-12T15:48:19
